Date,Open,High,Low,Close
25 March 2016,"?27,809","?27,958","?27,666","?27,916"
26 March 2016,"?27,983","?28,000","?27,790","?27,942"
27 March 2016,"?28,066","?28,096","?27,890","?27,930"
28 March 2016,"?27,966","?28,030","?27,846","?27,877"
29 March 2016,"?27,679","?27,679","?27,501","?27,527"
30 March 2016,"?27,518","?27,601","?27,399","?27,430"
31 March 2016,"?27,466","?27,499","?27,194","?27,274"
01 April 2016,"?27,552","?27,591","?27,399","?27,459"
02 April 2016,"?27,537","?27,647","?27,407","?27,591"
03 April 2016,"?26,251","?27,397","?25,902","?27,253"
04 April 2016,"?27,605","?27,743","?27,457","?27,518"
05 April 2016,"?27,345","?27,345","?26,777","?26,819"
06 April 2016,"?26,810","?26,810","?26,254","?26,305"
07 April 2016,"?26,509","?26,621","?26,239","?26,299"
08 April 2016,"?26,305","?26,450","?26,155","?26,228"
09 April 2016,"?26,270","?26,349","?26,107","?26,150"
10 April 2016,"?26,247","?26,270","?25,718","?25,765"
11 April 2016,"?25,928","?26,040","?25,766","?25,961"
12 April 2016,"?26,101","?26,130","?25,877","?26,052"
13 April 2016,"?26,049","?26,049","?25,811","?25,860"
14 April 2016,"?25,953","?26,344","?25,874","?26,316"
15 April 2016,"?26,304","?26,414","?26,183","?26,350"
16 April 2016,"?26,409","?26,587","?26,355","?26,394"
17 April 2016,"?26,441","?26,681","?26,396","?26,653"
18 April 2016,"?26,757","?26,769","?26,541","?26,560"
19 April 2016,"?26,437","?26,463","?26,183","?26,231"
20 April 2016,"?26,253","?26,391","?26,125","?26,349"
21 April 2016,"?26,404","?26,502","?26,356","?26,393"
22 April 2016,"?26,456","?26,541","?26,165","?26,237"
23 April 2016,"?26,367","?26,734","?26,357","?26,694"
24 April 2016,"?26,787","?26,804","?26,708","?26,747"
25 April 2016,"?26,725","?26,725","?26,469","?26,515"
26 April 2016,"?26,608","?26,725","?26,494","?26,698"
27 April 2016,"?26,708","?26,736","?26,547","?26,603"
28 April 2016,"?26,498","?26,738","?26,408","?26,519"
29 April 2016,"?26,549","?26,595","?26,455","?26,490"
30 April 2016,"?26,506","?26,506","?26,340","?26,375"
01 May 2016,"?26,375","?26,436","?26,241","?26,308"
02 May 2016,"?26,369","?26,396","?26,214","?26,242"
03 May 2016,"?26,224","?26,248","?25,940","?25,980"
04 May 2016,"?25,960","?26,143","?25,872","?26,041"
05 May 2016,"?25,992","?26,009","?25,754","?25,807"
06 May 2016,"?25,815","?26,249","?25,803","?26,213"
07 May 2016,"?26,243","?26,415","?26,192","?26,211"
08 May 2016,"?26,429","?26,430","?26,167","?26,366"
09 May 2016,"?26,442","?26,679","?26,407","?26,626"
10 May 2016,"?26,711","?26,721","?26,447","?26,595"
11 May 2016,"?26,617","?26,724","?26,488","?26,643"
12 May 2016,"?26,677","?26,723","?26,606","?26,633"
13 May 2016,"?26,738","?26,917","?26,738","?26,878"
14 May 2016,"?26,930","?27,010","?26,733","?26,759"
15 May 2016,"?26,861","?26,861","?26,701","?26,727"
16 May 2016,"?26,812","?26,915","?26,804","?26,900"
17 May 2016,"?26,978","?27,175","?26,978","?27,140"
18 May 2016,"?27,172","?27,279","?27,167","?27,247"
19 May 2016,"?27,378","?27,460","?27,143","?27,238"
20 May 2016,"?27,238","?27,335","?27,173","?27,288"
21 May 2016,"?27,332","?27,381","?27,179","?27,236"
22 May 2016,"?27,262","?27,423","?27,218","?27,258"
23 May 2016,"?27,253","?27,348","?27,220","?27,309"
24 May 2016,"?27,233","?27,264","?27,010","?27,035"
25 May 2016,"?26,991","?27,168","?26,964","?27,117"
26 May 2016,"?27,171","?27,393","?27,141","?27,376"
27 May 2016,"?27,463","?27,737","?27,440","?27,708"
28 May 2016,"?27,761","?27,980","?27,759","?27,882"
29 May 2016,"?27,867","?27,947","?27,813","?27,850"
30 May 2016,"?27,868","?27,868","?27,625","?27,656"
31 May 2016,"?27,669","?28,160","?27,590","?28,142"
